Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,37674
Base Time Seconds,1705531612
Base Time Fractional,.887012950
Base Time,01/17/2024 22:46:52.887012950,
Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Relative Time,Channel,CH Label
0.0114172170057,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.339009000,None,
0.01188827468735,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.342583000,None,
0.01174899185736,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.346203000,None,
0.01180202613959,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.349693000,None,
0.01180041017674,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.353454000,None,
0.01131427892679,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.357007000,None,
0.01146306745854,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.360589000,None,
0.01123277227117,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.364215000,None,
0.01167021467035,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.367765000,None,
0.0115499326729,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.371363000,None,
0.01177226969897,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.375024000,None,
0.01172346835177,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.378561000,None,
0.01168217378995,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.382045000,None,
0.0112754102526,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.385712000,None,
0.01116026075604,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.389184000,None,
0.01167517553124,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.392714000,None,
0.01140499034399,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.396365000,None,
0.01167644582068,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.400055000,None,
0.01144278351333,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.403571000,None,
0.0118605839111,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.407142000,None,
0.01151568185818,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.410683000,None,
0.01143835704492,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.414306000,None,
0.01147799941328,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.417838000,None,
0.01157279370614,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.421337000,None,
0.01113868439259,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.424919000,None,
0.01104124808088,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.428519000,None,
0.01133755431211,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.432015000,None,
0.01170140152962,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.435527000,None,
0.01145462204255,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.439083000,None,
0.01154594534058,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.442689000,None,
0.01138574682884,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.446330000,None,
0.01140838733353,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.449921000,None,
0.01141610412836,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.453494000,None,
0.01161312639524,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.457118000,None,
0.01164578789461,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.460632000,None,
0.01134879524658,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.464277000,None,
0.01165023599909,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.467880000,None,
0.01151272918812,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.471447000,None,
0.01137669778006,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.474957000,None,
0.01127731695759,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.478526000,None,
0.01179447658239,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.482097000,None,
0.01146105213059,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.485673000,None,
0.0115947447639,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.489274000,None,
0.01103181130363,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.492813000,None,
0.01111474927991,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.496388000,None,
0.01140222105204,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.499889000,None,
0.01142299100176,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.503475000,None,
0.01173904386617,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.507047000,None,
0.0113001355798,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.510587000,None,
0.01150477177091,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.514168000,None,
0.01149811237437,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.517768000,None,
0.01119528042476,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.521319000,None,
0.01120274679459,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.524933000,None,
0.01144381144517,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.528528000,None,
0.01122650688404,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.532199000,None,
0.01135769682173,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.535742000,None,
0.01161756860306,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.539258000,None,
0.01132249315491,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.542857000,None,
0.0115374807295,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.546524000,None,
0.01170654631312,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.550092000,None,
0.01169813386742,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.553616000,None,
0.01139878785297,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.557330000,None,
0.01151201692206,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.560834000,None,
0.01145488632973,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.564402000,None,
0.01171631523391,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.568030000,None,
0.01158259888791,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.571581000,None,
0.01147870445705,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.575226000,None,
0.01158682386007,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.578821000,None,
0.01160067483823,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.582431000,None,
0.01161171379996,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.585973000,None,
0.01159385645831,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.589499000,None,
0.01143999171833,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.593028000,None,
0.01128787861809,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.596528000,None,
0.0116373115143,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.600019000,None,
0.01164711405726,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.603579000,None,
0.01112842910411,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.607096000,None,
0.0116520058422,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.610693000,None,
0.01162054708814,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.614298000,None,
0.01191786458924,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.617925000,None,
0.01125753702439,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.621530000,None,
0.01137232924763,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.625212000,None,
0.0112374124098,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.628832000,None,
0.01155113575895,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.632448000,None,
0.01154788347459,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.635988000,None,
0.01158365385436,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.639535000,None,
0.01140413455928,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.642994000,None,
0.0112888351325,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.646629000,None,
0.01118866462177,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.650231000,None,
0.01115659115133,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.653855000,None,
0.01138617840349,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.657354000,None,
0.01169924794128,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.660978000,None,
0.01138460133042,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.664498000,None,
0.01185502630244,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.668131000,None,
0.01142729106465,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.671644000,None,
0.01146924336381,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.675177000,None,
0.01173863131785,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.678788000,None,
0.01141082773128,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.682461000,None,
0.0114336577024,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.685970000,None,
0.0117583929719,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.689497000,None,
0.01172457100218,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.692966000,None,
0.01168469345846,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.696554000,None,
0.01133788147197,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.700147000,None,
0.01129218889617,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.703694000,None,
0.01167687185253,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.707239000,None,
0.01127350777534,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.710756000,None,
0.01153940586436,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.714302000,None,
0.01165718412788,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.717859000,None,
0.01132236223857,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.721373000,None,
0.01132101171081,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.725024000,None,
0.01127892257738,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.728530000,None,
0.01124806058673,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.732042000,None,
0.01121412209461,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.735646000,None,
0.01166709288545,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.739207000,None,
0.0115407346949,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.742716000,None,
0.01197513117269,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.746305000,None,
0.01165899877356,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.749922000,None,
0.01129017685544,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.753566000,None,
0.01122009994113,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.757084000,None,
0.01129384203838,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.760637000,None,
0.01150849223199,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.764202000,None,
0.01180388346703,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.767810000,None,
0.01158278745704,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.771268000,None,
0.01129787301496,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.774755000,None,
0.0113297703298,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.778253000,None,
0.0113131287316,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.781886000,None,
0.01161116276839,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.785552000,None,
0.01148623065948,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.789134000,None,
0.01175212959875,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.792713000,None,
0.01120091246926,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.796325000,None,
0.01110565840271,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.799909000,None,
0.0116100827161,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.803510000,None,
0.0116863800976,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.806989000,None,
0.01097306794982,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.810568000,None,
0.01144656594179,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.814122000,None,
0.01170319915263,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.817755000,None,
0.01144116045426,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.821329000,None,
0.01162089821403,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.824858000,None,
0.01182077710405,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.828362000,None,
0.01147281406536,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.831955000,None,
0.01159008215924,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.835659000,None,
0.01158912988656,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.839278000,None,
0.01163835477026,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.842828000,None,
0.01135171435006,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.846469000,None,
0.0115303978189,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.850064000,None,
0.01185508877236,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.853565000,None,
0.01154623959773,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.857363000,None,
0.01134133396981,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.860942000,None,
0.01144968277503,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.864571000,None,
0.01183132630936,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.868148000,None,
0.01138643509138,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.871723000,None,
0.01140431425267,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.875257000,None,
0.01122584512127,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.878725000,None,
0.01152731497307,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.882301000,None,
0.01144465159753,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.885892000,None,
0.01164231831504,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.889347000,None,
0.01149694607828,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.892888000,None,
0.01152494304488,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.896482000,None,
0.01150001975648,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.900045000,None,
0.01137071267643,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.903727000,None,
0.01141116909258,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.907241000,None,
0.01130258247444,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.910772000,None,
0.0114153007594,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.914292000,None,
0.01174409993798,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.917868000,None,
0.01143461789398,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.921478000,None,
0.0117669649136,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.925057000,None,
0.0112613763497,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.928615000,None,
0.0116581696618,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.932300000,None,
0.01146613091257,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.935839000,None,
0.01150843108281,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.939340000,None,
0.01170319559694,Amp AC,.1,6.5,F,F,F,F,F,F,Front,F,Main,0.942941000,None,
